,county_name,pop,actual,predicted,percent_difference
0,Alameda,1510271.0,80950.0,80900.0,-0.0006053703747273892
1,Alpine,1175.0,82.0,113.0,0.3781093581725703
2,Amador,38091.0,3474.0,6447.0,0.8558323523017658
3,Butte,220000.0,11007.0,11017.0,0.0009535361291963626
4,Calaveras,45578.0,1918.0,2077.0,0.08331097280892691
5,Colusa,21419.0,2140.0,2172.0,0.015256212493568882
9,Fresno,930450.0,95785.0,95894.0,0.0011382243985427131
10,Glenn,28122.0,2232.0,2386.0,0.06941768889060934
11,Humboldt,134623.0,3230.0,3232.0,0.0006918547896165768
12,Imperial,174528.0,26926.0,3565928.0,131.43440732102312
13,Inyo,18546.0,1321.0,2867.0,1.1703375804909375
14,Kern,839631.0,103756.0,105566.0,0.017444785943748126
15,Kings,152982.0,22091.0,22228.0,0.006216381587705897
16,Lake,64665.0,3169.0,3174.0,0.0018884507600618245
17,Lassen,34895.0,5623.0,5650.0,0.004801959240755667
19,Madera,150865.0,15523.0,15622.0,0.006423462555008661
20,Marin,252409.0,13285.0,14176.0,0.06709361387278187
21,Mariposa,18251.0,395.0,555.0,0.4074139060632036
22,Mendocino,87841.0,3826.0,3824.0,-0.00046174894554503035
23,Merced,255793.0,29264.0,29453.0,0.0064650664018924674
24,Modoc,9686.0,460.0,482.0,0.04915415240502477
25,Mono,14202.0,1214.0,1225.0,0.009199959939835729
26,Monterey,415057.0,42335.0,42500.0,0.003917233493074644
27,Napa,136484.0,9080.0,9249.0,0.018660771964936842
28,Nevada,98764.0,3988.0,10798.0,1.7077769341300642
29,Orange,3010232.0,261798.0,472445.0,0.8046167115153614
30,Placer,348432.0,19911.0,20044.0,0.006680409729855148
31,Plumas,20007.0,653.0,661.0,0.013455462722058964
32,Riverside,2189641.0,290498.0,224384.0,-0.2275860479165474
33,Sacramento,1418788.0,93790.0,93922.0,0.0014086445163273
44,Shasta,177223.0,11054.0,-11160.0,-2.009622583945255
45,Sierra,3240.0,100.0,206.0,1.0654178744691314
46,Siskiyou,44900.0,1784.0,1967.0,0.10277216710802216
47,Solano,413344.0,30216.0,30460.0,0.00807922910166582
48,Sonoma,483878.0,28261.0,28348.0,0.003095398492144595
49,Stanislaus,514453.0,56433.0,50291.0,-0.1088354534239381
50,Sutter,94737.0,8899.0,9055.0,0.017579329819475003
51,Tehama,63463.0,5104.0,5140.0,0.007123248483997115
52,Trinity,13786.0,373.0,4174.0,10.191088599005733
53,Tulare,442179.0,48114.0,48553.0,0.00913221970346725
54,Tuolumne,55365.0,3966.0,3913.0,-0.0133187380403324
55,Ventura,823318.0,77952.0,81107.0,0.04047921527249016
56,Yolo,200849.0,12867.0,12945.0,0.0060839487544984356
57,Yuba,72155.0,5776.0,5840.0,0.011218315957783827
