,phrase,score,label
0,knowledge base,0.8734070970581805,1
1,information extraction,0.8568585675653064,1
2,domain specific,0.8113377300037374,1
3,text corpora,0.7704882862657413,1
4,keyphrase extraction,0.719894436841039,1
5,pos tagger,0.7127234458339459,1
6,natural language,0.6909646602779101,1
7,massive text corpora,0.6505250102387082,1
8,cn,0.6309963658653092,1
9,auc,0.6300044214035635,1
10,pos tag,0.6251617263192806,1
11,ieee,0.6183734198487901,0
12,wikipedia,0.6090860850957394,1
13,illinois,0.6040647778493968,0
14,domain experts,0.5946615438474321,1
15,phrase mining,0.5941157562432674,1
16,pos tags,0.5926508633330452,1
17,chinese,0.5920073874412302,1
18,precision recall,0.5847704988843946,1
19,high quality,0.5820175536894574,1
20,fig,0.5748059932995735,0
21,word sequence,0.5680361992793773,1
22,pos,0.5676503296542258,1
23,pre trained,0.5672355725553185,1
24,wikipedia article,0.5599296824498518,1
25,english,0.5579353839142134,1
26,art,0.5531881324313975,0
27,np,0.550633144188959,0
28,precision recall curves,0.5505498278235873,1
29,multiple languages,0.5465196180295316,1
30,acm,0.5433019117862139,0
31,yelp,0.5323504053536855,1
32,quality score,0.5291730418814092,1
33,gb,0.5250031014834166,0
34,viterbi,0.5232285112591076,1
35,business,0.5213928317564032,1
36,dblp,0.5207442625468877,1
37,proc,0.517485077863711,0
38,phd,0.5164059154535084,0
39,section,0.5159599908718192,0
40,spanish,0.5150549029581593,1
41,linguistics,0.5117939603262032,1
42,rectified,0.5115139253747046,1
43,han,0.5108942849283136,0
44,human effort,0.5108879959879615,1
45,knowledge bases,0.5081551197007873,1
46,human annotation,0.506031612366354,1
47,idf,0.5056919963508704,1
48,database,0.5013005745692394,1
49,mining,0.5006902973292281,1
